[200, 150, 2.0, 3.1]:: Return=0.0, terminal=False
[200, 150, 2.2, 3.1]:: Return=0.288, terminal=False
[200, 150, 2.4, 3.1]:: Return=0.6822, terminal=False
[200, 150, 1.9, 3.1]:: Return=0.1094, terminal=False
[200, 150, 2.9, 3.1]:: Return=1.2805, terminal=False
[200, 150, 2.3, 3.1]:: Return=-0.667, terminal=False
[200, 150, 2.2, 3.1]:: Return=0.0934, terminal=False
[200, 150, 2.3, 3.1]:: Return=-0.0161, terminal=False
[200, 150, 3.0, 3.1]:: Return=-0.0021, terminal=False
[200, 150, 1.0, 3.1]:: Return=-0.3886, terminal=False
[200, 150, 2.2, 3.1]:: Return=0.0, terminal=False
[200, 150, 0.6, 3.1]:: Return=1.4819, terminal=False
[200, 150, 2.5, 3.1]:: Return=-0.6082, terminal=False
[200, 150, 1.0, 3.1]:: Return=-0.0792, terminal=False
[200, 150, 2.3, 3.1]:: Return=-0.1423, terminal=False
[200, 150, 2.9, 3.1]:: Return=0.1623, terminal=False
[200, 150, 1.0, 3.1]:: Return=1.0425, terminal=False
[200, 150, 1.2, 3.1]:: Return=0.9612, terminal=False
[200, 150, 0.5, 3.1]:: Return=0.8982, terminal=False
[200, 150, 0.5, 3.1]:: Return=0.0, terminal=False
[200, 150, 2.7, 3.1]:: Return=0.0608, terminal=True
   124: E[0:05:48]-R[11:35:17]: Return=     6.885, Steps=  32, Features = 100
[200, 150, 1.2, 3.1]:: Return=0.0, terminal=False
[200, 150, 0.8, 3.1]:: Return=0.0, terminal=False
[200, 150, 2.1, 3.1]:: Return=0.0656, terminal=False
[200, 150, 0.9, 3.1]:: Return=-0.4024, terminal=False
[200, 150, 0.9, 3.1]:: Return=0.0, terminal=False
[200, 150, 1.9, 3.1]:: Return=0.3154, terminal=False
[200, 150, 3.0, 3.1]:: Return=-0.6155, terminal=False
[200, 150, 2.4, 3.1]:: Return=0.1225, terminal=False
[200, 150, 2.9, 3.1]:: Return=-0.0161, terminal=False
[200, 150, 1.1, 3.1]:: Return=-0.189, terminal=False
[200, 150, 0.7, 3.1]:: Return=0.0, terminal=False
[200, 150, 2.7, 3.1]:: Return=-0.1168, terminal=False
[200, 150, 2.7, 3.1]:: Return=-0.6223, terminal=False
